objName,objAltName1,objAltName2,objAltName3,NED_name,NED_redshift,raMean,decMean,TransientName,TransientRA,TransientDEC
PSO J024936.820-311313.216,,,,WISEA J024936.80-311313.4,0.021357,42.40343445,-31.22032488,SN2016ajm,42.40004166666665,-31.223305555555555
PSO J094538.761-311127.368,,,,NGC 2997,0.003633,146.41151665,-31.19094705,SN2003jg,146.40795833333334,-31.189169444444445
PSO J200644.884-310045.923,,,,ESO 461- G 040,0.039661,301.68700615,-31.01275809,SN2016hfe,301.689875,-31.01236388888889
PSO J002822.929-305720.563,,,,2MASX J00282291-3057202,,7.09554097,-30.95571330000001,SSS120817:002822-305723,7.090916666666666,-30.956416666666662
PSO J134740.057-305622.079,,,,NGC 5292,0.014897,206.91690362,-30.93946567,SN2016adi,206.929625,-30.93250555555556
PSO J223234.264-305504.160,,,,WISEA J223234.26-305504.2,0.028433,338.1427611000001,-30.91784047,LSQ13bgk,338.14091666666667,-30.91705555555556
PSO J135250.270-304235.693,,,,ESO 445- G 066,0.024207,208.20945434,-30.70991307,SN1993H,208.20975,-30.70646944444445
PSO J040914.172-304225.703,,,,2MASX J04091418-3042254,0.059604,62.30904789,-30.70715466,SN1997df,62.30750000000001,-30.70638888888889
PSO J133748.799-304123.739,,,,WISEA J133748.79-304123.8,0.0507279999999999,204.45333184,-30.68992233,SN1992an,204.45366666666663,-30.692222222222235
PSO J144726.675-303843.113,,,,ESO 447- G 037,0.022179,221.86116838,-30.64532952,SN2009gb,221.85762916666664,-30.650688888888887
PSO J020232.335-303816.091,,,,WISEA J020232.35-303816.0,0.0668,30.63475113,-30.63779684,LSQ13bnx,30.632041666666662,-30.63666666666667
PSO J140251.939-303701.374,,,,2MASS J14025196-3037014,,210.7164158,-30.61704572,SN2016fss,210.71629166666665,-30.61646111111111
PSO J003632.084-303442.083,,,,WISEA J003632.09-303442.0,0.061262,9.13369278,-30.57834548,SN2017gig,9.137249999999998,-30.58206111111112
PSO J135001.505-303442.184,,,,NGC 5304,0.012402,207.50626422,-30.57838863,SN2005al,207.5013708333333,-30.576169444444453
PSO J132729.684-303331.431,,,,WISEA J132729.64-303331.4,0.047199,201.87368905,-30.55874236,LSQ14tc,201.87416666666664,-30.558694444444445
PSO J211322.649-303200.173,,,,WISEA J211322.65-303200.1,,318.34437756,-30.5333776,PS1-13dgl,318.34433333333334,-30.53275
PSO J234751.729-303118.915,,,,NGC 7755,0.009867,356.96552374,-30.52193559,SN2004cx,356.97025,-30.52571944444445
PSO J101033.161-303043.040,,,,WISEA J101033.16-303043.0,0.079515,152.63817253,-30.51197202,SN2017itw,152.63833333333332,-30.50996111111111
PSO J234928.602-302515.028,,,,2MASX J23492863-3025148,0.045531,357.36913909,-30.42081887,SN2017eiy,357.3677916666666,-30.417969444444445
PSO J132925.840-302447.075,,,,WISEA J132925.85-302447.0,0.048457,202.35766113,-30.41311002,SN1993P,202.3575,-30.413061111111112
PSO J125625.194-302347.287,,,,WINGS J125625.22-302347.6,,194.10493329,-30.39656295,LSQ14asn,194.1048333333333,-30.39719444444445
PSO J033344.470-301903.321,,,,WISEA J033344.47-301903.3,0.130297,53.43530924,-30.31759626,LSQ12hdl,53.43333333333332,-30.317777777777767
PSO J125648.801-301725.921,,,,WISEA J125648.79-301725.9,0.055799,194.20332572,-30.290517699999995,SN2019fte,194.2042208333333,-30.28899444444445
PSO J135053.751-301720.876,,,,ESO 445- G 056,0.018953,207.72393871,-30.28912037,SN2013dm,207.7204208333333,-30.28593888888889
PSO J215949.671-301618.624,,,,WISEA J215949.70-301619.9,0.0563,329.95696194,-30.27183501,LSQ14fom,329.95716666666664,-30.27097222222222
PSO J222036.128-301158.490,,,,WISEA J222036.11-301158.8,0.0701,335.15054604,-30.19959419,SN2018hbh,335.14944999999994,-30.198538888888887
PSO J220002.437-301100.743,,,,ESO 466- G 032,0.0171,330.01015755,-30.18355117,SN2016ekg,330.01533333333333,-30.18426111111112
PSO J045449.164-301012.249,,,,WISEA J045449.11-301014.0,,73.70484632,-30.17007105,SN2016dsr,73.70416666666667,-30.16858333333333
PSO J120532.848-300939.988,,,,ESO 440- G 048,0.025147,181.38689716,-30.16112982,SN1990S,181.38779166666663,-30.161166666666663
PSO J212713.058-300345.765,,,,ESO 465- G 002,0.019617,321.80439537,-30.06269757,LSQ13bfo,321.80104166666666,-30.06069444444445
PSO J134853.976-300137.847,,,,WISEA J134853.97-300137.6,0.02855,207.22490008,-30.02717152,SN1985I,207.22083333333333,-30.02833333333333
PSO J132857.139-300046.556,,,,WISEA J132857.13-300046.4,,202.23808344,-30.01295656,SN1992Z,202.23866666666663,-30.011972222222223
PSO J092039.720-295653.510,,,,WISEA J092039.72-295653.3,0.035948,140.16549885,-29.94818372,SN2017dfo,140.15885,-29.95065277777777
